X1,Y1,X2,Y2
13616.67,86050,13616.67,86050
13616.67,86050,13616.67,86050
12627.78,86702.5,12627.78,86702.5
12149.17,86080,12149.17,86080
12966.67,85800,12966.67,85800
12966.67,85800,12966.67,85800
13000,85800,13000,85800
13700,84850,13700,84850
13466.67,83550,13466.67,83550
13550,83533.34,13550,83533.34
13550,83533.34,13550,83533.34
14066.67,85300,14066.67,85300
12583.33,83750,12583.33,83750
12916.67,85966.66,12916.67,85966.66
13800,84883.34,13800,84883.34
14733.33,83966.66,14733.33,83966.66
12916.67,85966.66,12916.67,85966.66
14800,83733.34,14800,83733.34
14800,83733.34,14800,83733.34
13700,84850,13700,84850
13700,84850,13700,84850
13466.67,83550,13466.67,83550
13450,84266.66,13450,84266.66
13466.67,83550,13466.67,83550
13450,84266.66,13450,84266.66
13466.67,83550,13466.67,83550
13450,84266.66,13450,84266.66
12933.33,83533.34,12933.33,83533.34
14450,83316.66,14450,83316.66
14450,83316.66,14450,83316.66
12789.44,86945,12789.44,86945
12050,84983.34,12050,84983.34
12789.44,86945,12789.44,86945
12789.44,86945,12789.44,86945
11983.33,86516.66,11983.33,86516.66
12050,84983.34,12050,84983.34
12016.67,86000,12016.67,86000
13516.67,86533.34,13516.67,86533.34
13733.33,86116.66,13733.33,86116.66
11733.33,86083.34,11733.33,86083.34
13000,86766.66,13000,86766.66
12083.33,86183.34,12083.33,86183.34
12627.78,86702.5,12627.78,86702.5
12083.33,86183.34,12083.33,86183.34
11483.33,85516.66,11483.33,85516.66
13650,84833.34,13650,84833.34
14650,84700,14650,84700
14800,83816.66,14800,83816.66
14816.67,83783.34,14816.67,83783.34
11616.67,86333.34,11616.67,86333.34
11616.67,86333.34,11616.67,86333.34
14100,83333.34,14100,83333.34
12666.67,86233.34,12666.67,86233.34
12700,86150,12700,86150
14066.67,86083.34,14066.67,86083.34
14066.67,86083.34,14066.67,86083.34
13233.33,85933.34,13233.33,85933.34
12566.67,85850,12566.67,85850
12616.67,86616.66,12616.67,86616.66
12183.33,86466.66,12183.33,86466.66
13066.67,86000,13066.67,86000
12416.67,85800,12416.67,85800
12733.33,85966.66,12733.33,85966.66
11950,85950,11950,85950
14050,86066.66,14050,86066.66
13533.33,86716.66,13533.33,86716.66
12550,86216.66,12550,86216.66
12550,86216.66,12550,86216.66
12616.67,86616.66,12616.67,86616.66
13066.67,86000,13066.67,86000
13383.33,83566.66,13383.33,83566.66
12666.67,83550,12666.67,83550
12666.67,83550,12666.67,83550
13416.67,84250,13416.67,84250
12666.67,83550,12666.67,83550
12400,84883.34,12400,84883.34
13016.67,85983.34,13016.67,85983.34
12900,87633.34,12900,87633.34
13533.33,86716.66,13533.33,86716.66
13533.33,86716.66,13533.33,86716.66
13383.33,83566.66,13383.33,83566.66
13600,83916.66,13600,83916.66
13666.67,86166.66,13666.67,86166.66
13733.33,84766.66,13733.33,84766.66
14266.67,83550,14266.67,83550
12933.33,83533.34,12933.33,83533.34
14733.33,85000,14733.33,85000
14733.33,85000,14733.33,85000
14950,83533.34,14950,83533.34
12583.33,83750,12583.33,83750
12683.33,87250,12683.33,87250
12716.67,87300,12716.67,87300
13183.33,86933.34,13183.33,86933.34
13183.33,86933.34,13183.33,86933.34
13533.33,86516.66,13533.33,86516.66
12700,87333.34,12700,87333.34
