X1,Y1,X2,Y2
24827.22,51394.72,24758.89,51211.95
24904.45,51175,24758.89,51211.95
24996.11,51548.89,24827.22,51394.72
25010,51039.45,24748.33,50840
25030.83,51275.28,24904.45,51175
25067.78,51077.5,25010,51039.45
25100,51516.67,24996.11,51548.89
25103.33,51521.67,25100,51516.67
25150.83,51537.78,25103.33,51521.67
25162.22,51220.83,25121.95,51218.33
25162.22,51220.83,25158.33,51163.61
25167.78,51606.95,25150.83,51537.78
25168.89,51086.39,25067.78,51077.5
25168.89,51086.39,25158.33,51163.61
25173.89,51269.45,25121.95,51218.33
25211.39,51619.17,25167.78,51606.95
25214.45,51378.89,25210.83,51394.17
25233.33,51333.33,25214.45,51378.89
25234.17,51203.05,25030.83,51275.28
25234.17,51203.05,25224.17,51174.45
25235.55,51330,25173.89,51269.45
25235.55,51330,25233.33,51333.33
25235.55,51495.55,25223.33,51451.67
25243.05,51452.5,25223.33,51451.67
25243.05,51452.5,25242.78,51428.89
25253.89,51535.28,25252.5,51559.17
25253.89,51549.72,25252.5,51559.17
25256.95,51398.89,25210.83,51394.17
25256.95,51398.89,25242.78,51428.89
25263.61,51516.39,25253.89,51535.28
25265.83,51545.28,25253.89,51549.72
25266.67,51483.33,25235.55,51495.55
25270.83,51505.83,25266.67,51483.33
25270.83,51523.05,25270.55,51532.78
25275.83,51533.61,25270.55,51532.78
25278.33,51525.55,25270.83,51523.05
25278.33,51541.39,25265.83,51545.28
25278.33,51541.39,25277.22,51547.78
25281.11,51535,25275.83,51533.61
25281.39,51512.5,25270.83,51505.83
25283.33,51533.33,25281.11,51535
25283.61,51546.67,25277.22,51547.78
25284.72,51555.28,25211.39,51619.17
25284.72,51555.28,25279.17,51445.55
25286.11,51504.17,25281.39,51512.5
25286.11,51534.17,25283.33,51533.33
25286.67,51533.33,25286.11,51534.17
25287.5,51537.78,25278.33,51525.55
25288.05,51546.67,25283.61,51546.67
25288.05,51546.67,25287.5,51537.78
25290.83,51528.33,25286.67,51533.33
25291.95,51424.45,25279.17,51445.55
25292.5,51520.83,25286.11,51504.17
25292.5,51520.83,25290.83,51528.33
25298.61,51001.67,25266.67,50969.17
25300.83,51394.45,25291.95,51424.45
25306.95,51507.78,25263.61,51516.39
25311.95,51003.05,25298.61,51001.67
25313.89,50883.33,25266.67,50969.17
25316.67,50766.67,25313.89,50883.33
25322.5,51507.78,25306.95,51507.78
25322.5,51507.78,25320.55,51495.55
25325.28,51470,25315.28,51438.61
25326.67,51350.28,25300.83,51394.45
25337.5,51425,25315.28,51438.61
25339.17,51173.33,25224.17,51174.45
25341.95,51507.5,25320.55,51495.55
25341.95,51507.5,25325.28,51470
25358.89,51333.61,25326.67,51350.28
25358.89,51333.61,25340.55,51293.61
25363.61,51281.11,25340.55,51293.61
25368.61,51226.39,25339.17,51173.33
25374.45,51436.67,25337.5,51425
25377.78,51294.72,25363.61,51281.11
25396.95,51422.5,25374.45,51436.67
25400,51183.33,25368.61,51226.39
25400,51425,25396.95,51422.5
25404.72,51073.05,25311.95,51003.05
25416.95,51403.89,25400,51425
25416.95,51457.78,24748.33,50840
25419.45,50793.61,25316.67,50766.67
25429.72,50785.83,25419.45,50793.61
25433.33,51220,25400,51183.33
25433.33,51220,25404.72,51073.05
25440.83,51378.05,25416.95,51403.89
25444.45,50958.33,25214.17,50807.22
25459.17,51316.67,25377.78,51294.72
25469.72,51397.5,25440.83,51378.05
25480.55,50938.89,25451.39,50925
25483.33,51383.33,25469.72,51397.5
25490.55,51373.61,25478.05,51362.5
25490.55,51373.61,25483.33,51383.33
25492.22,51400.28,25478.05,51362.5
25495,50846.67,25429.72,50785.83
25495,50846.67,25451.39,50925
25495,50965.28,25480.55,50938.89
25497.5,51485.28,25416.95,51457.78
25500.83,50980.55,25495,50965.28
25531.95,51304.45,25459.17,51316.67
25531.95,51304.45,25510.55,51242.22
25533.33,50977.22,25500.83,50980.55
25538.89,51408.33,25492.22,51400.28
