X1,Y1,X2,Y2
30233.33,57583.33,30133.33,57633.33
30250,56950,30250,56850
30250,57583.33,30233.33,57583.33
30300,56966.67,30166.67,57100
30300,56966.67,30250,56950
30316.67,56816.67,30250,56850
30400,56783.33,30316.67,56816.67
30433.33,57433.33,30250,57583.33
30483.33,56516.67,30466.67,56550
30500,56450,30400,56466.67
30500,56450,30483.33,56516.67
30500,56666.67,30166.67,57100
30500,56666.67,30466.67,56550
30566.67,56883.33,30400,56783.33
30600,57683.33,30550,57866.67
30616.67,56900,30566.67,56883.33
30683.33,57033.33,30616.67,56900
30683.33,57516.67,30433.33,57433.33
30683.33,57516.67,30600,57683.33
30716.67,56600,30400,56466.67
30733.33,56733.33,30716.67,56600
30733.33,57316.67,30683.33,57033.33
30750,56750,30733.33,56733.33
30783.33,57783.33,30550,57866.67
30833.33,56750,30750,56750
30866.67,56366.67,30633.33,56166.67
30916.67,56300,30866.67,56366.67
30933.33,55483.33,30900,55516.67
30933.33,55550,30900,55516.67
30950,56650,30833.33,56750
30966.67,55550,30933.33,55550
30966.67,57533.33,30733.33,57316.67
31000,55683.33,30966.67,55550
31000,56250,30916.67,56300
31033.33,56600,30950,56650
31033.33,56600,31016.67,56566.67
31033.33,56883.33,30133.33,57633.33
31083.33,56016.67,30633.33,56166.67
31083.33,56516.67,31016.67,56566.67
31083.33,57516.67,30966.67,57533.33
31083.33,57600,31083.33,57516.67
31083.33,57833.33,30783.33,57783.33
31083.33,57833.33,31083.33,57600
31100,55666.67,31000,55683.33
31100,55983.33,31083.33,56016.67
31100,57016.67,31083.33,57016.67
31116.67,56466.67,31083.33,56516.67
31166.67,55750,31100,55666.67
31166.67,57000,31100,57016.67
31166.67,57083.33,31083.33,57016.67
31183.33,56283.33,31000,56250
31183.33,56933.33,31166.67,57000
31200,55750,31166.67,55750
31216.67,55666.67,31200,55750
31216.67,56316.67,31183.33,56283.33
31233.33,55633.33,31216.67,55666.67
31233.33,57116.67,31166.67,57083.33
31250,55333.33,31233.33,55633.33
31250,55950,31100,55983.33
31250,55950,31233.33,55883.33
31250,56833.33,31183.33,56933.33
31250,57166.67,31233.33,57116.67
31250,57200,31250,57166.67
31283.33,56433.33,31116.67,56466.67
31300,55866.67,31233.33,55883.33
31300,57066.67,31200,57233.33
31300,57100,31300,57066.67
31300,57133.33,31300,57100
31300,57150,31300,57133.33
31300,57200,31250,57200
31300,57200,31300,57150
31333.33,57833.33,31333.33,57800
31333.33,57883.33,31333.33,57833.33
31350,55383.33,31250,55333.33
31350,56633.33,31300,56016.67
31350,57800,31333.33,57800
31350,57800,31350,57783.33
31350,57983.33,31333.33,57883.33
31366.67,55083.33,31316.67,55200
31366.67,55666.67,30933.33,55483.33
31366.67,55850,31300,55866.67
31383.33,55866.67,31366.67,55850
31383.33,57966.67,31350,57983.33
31400,56366.67,31283.33,56433.33
31400,57783.33,31300,57700
31400,57783.33,31350,57783.33
31416.67,56683.33,31350,56633.33
31433.33,55233.33,31316.67,55200
31450,55416.67,31350,55383.33
31450,56383.33,31216.67,56316.67
31450,56383.33,31400,56366.67
31466.67,55166.67,31433.33,55233.33
31466.67,56833.33,31416.67,56683.33
31483.33,54833.33,31416.67,54916.67
31500,54716.67,31366.67,55083.33
31500,54716.67,31483.33,54833.33
31500,55166.67,31450,55416.67
31500,55166.67,31466.67,55166.67
31500,57116.67,31200,57233.33
31516.67,54966.67,31416.67,54916.67
31516.67,55966.67,31500,56033.33
31516.67,57583.33,31300,57700
31516.67,57583.33,31516.67,57533.33
31533.33,55583.33,31366.67,55666.67
31533.33,55833.33,31383.33,55866.67
31533.33,55833.33,31516.67,55766.67
31533.33,56050,31300,56016.67
31533.33,56050,31500,56033.33
31550,55550,31533.33,55583.33
31550,57950,31383.33,57966.67
31583.33,55466.67,31516.67,55966.67
31583.33,55466.67,31550,55550
31583.33,57616.67,31516.67,57533.33
31600,55850,31516.67,55766.67
31616.67,56816.67,31466.67,56833.33
31633.33,55000,31516.67,54966.67
31633.33,56916.67,31600,56750
31650,56833.33,31616.67,56816.67
31650,56833.33,31633.33,56916.67
31666.67,56633.33,31250,56833.33
31666.67,56633.33,31600,56750
31666.67,57916.67,31550,57950
31683.33,54650,31566.67,54550
31683.33,54766.67,31683.33,54650
31683.33,55950,31600,55850
31683.33,56133.33,31666.67,56166.67
31683.33,57683.33,31033.33,56883.33
31683.33,57683.33,31583.33,57616.67
31700,56100,31683.33,56133.33
31716.67,55333.33,31683.33,55433.33
31733.33,54416.67,31566.67,54550
31733.33,55983.33,31683.33,55950
31750,55016.67,31633.33,55000
31750,55466.67,31683.33,55433.33
31750,56066.67,31700,56100
31766.67,54800,31683.33,54766.67
31766.67,56016.67,31733.33,55983.33
31766.67,56016.67,31750,56066.67
31766.67,56250,31666.67,56166.67
31783.33,54333.33,31733.33,54416.67
31783.33,54750,31766.67,54800
31783.33,56250,31766.67,56250
31800,54716.67,31783.33,54750
31800,55333.33,31716.67,55333.33
31800,56133.33,31783.33,56250
31816.67,54666.67,31800,54716.67
31816.67,55183.33,31783.33,55150
31816.67,55216.67,31800,55333.33
31816.67,55216.67,31816.67,55183.33
31816.67,55500,31750,55466.67
31833.33,54166.67,31783.33,54333.33
31833.33,55766.67,31800,55700
31833.33,55933.33,31816.67,55916.67
31833.33,55933.33,31816.67,55966.67
31833.33,55983.33,31816.67,55966.67
31833.33,57250,31500,57116.67
31850,56000,31800,56133.33
31850,56000,31833.33,55983.33
31866.67,54200,31833.33,54166.67
31866.67,57283.33,31833.33,57250
31883.33,55433.33,31816.67,55500
31883.33,55966.67,31816.67,55916.67
31883.33,56000,31883.33,55966.67
31883.33,57333.33,31866.67,57283.33
31883.33,57516.67,31883.33,57483.33
31900,54150,31866.67,54200
31900,55133.33,31783.33,55150
31900,55466.67,31883.33,55433.33
31900,55883.33,31833.33,55766.67
31916.67,54733.33,31816.67,54666.67
31916.67,54733.33,31900,54783.33
31916.67,55933.33,31900,55883.33
31916.67,56016.67,31883.33,56000
31916.67,56016.67,31916.67,55933.33
31916.67,57250,31883.33,57333.33
31916.67,57716.67,31883.33,57516.67
31950,57883.33,31916.67,57716.67
31966.67,55050,31900,55133.33
31983.33,55683.33,31800,55700
32000,54133.33,31983.33,54166.67
32000,55483.33,31900,55466.67
32000,57166.67,31883.33,57483.33
32000,57300,31916.67,57250
32000,57583.33,31966.67,57516.67
32016.67,54200,31983.33,54166.67
32016.67,55066.67,31750,55016.67
32016.67,55066.67,31966.67,55050
32016.67,57333.33,31983.33,57416.67
32016.67,57333.33,32000,57300
32016.67,57466.67,31966.67,57516.67
32016.67,57466.67,31983.33,57416.67
32033.33,54183.33,32016.67,54200
32033.33,55666.67,31983.33,55683.33
32050,54633.33,32033.33,54566.67
32050,54866.67,31900,54783.33
32050,55383.33,32000,55483.33
32083.33,54250,32033.33,54183.33
32083.33,55650,32033.33,55666.67
32083.33,55650,32033.33,55783.33
32083.33,56866.67,32000,57166.67
32083.33,56866.67,32066.67,56350
32100,53750,32066.67,53766.67
32100,54866.67,32050,54866.67
32100,57816.67,31950,57883.33
32100,57816.67,32083.33,57916.67
32116.67,54066.67,32000,54133.33
32116.67,57566.67,32000,57583.33
32116.67,57566.67,32100,57416.67
32150,54200,31900,54150
32150,54200,32083.33,54250
32150,54883.33,32100,54866.67
32150,54950,32150,54883.33
32166.67,53750,32100,53750
32166.67,54116.67,32116.67,54066.67
32166.67,55016.67,32150,54950
32166.67,55950,32150,56116.67
32183.33,55033.33,32150,55050
32183.33,55033.33,32166.67,55016.67
32183.33,55283.33,32050,55383.33
32183.33,56066.67,32150,56116.67
32200,54066.67,32166.67,54116.67
32200,58000,32083.33,57916.67
32216.67,55600,32050,54633.33
32216.67,56016.67,32183.33,56066.67
32233.33,54983.33,32150,55050
32233.33,55733.33,32033.33,55783.33
32233.33,56500,32066.67,56350
32250,55750,32233.33,55733.33
32250,56516.67,32233.33,56500
32250,57300,32100,57416.67
32266.67,54916.67,32233.33,54983.33
32283.33,58050,32200,58000
32300,55333.33,32183.33,55283.33
32321.39,58075.55,32283.33,58050
32333.33,55883.33,32266.67,55900
32333.33,55966.67,32216.67,56016.67
32333.33,55966.67,32266.67,55900
32333.33,58133.33,32321.39,58075.55
32350,53833.33,32166.67,53750
32350,54133.33,32200,54066.67
32350,55833.33,32250,55750
32350,55833.33,32333.33,55883.33
32350,56550,32250,56516.67
32350,57200,32250,57300
32350,57200,32333.33,57050
32366.67,54183.33,32350,54133.33
32366.67,54766.67,32266.67,54916.67
32366.67,57850,32333.33,57800
32366.67,57850,32333.33,57933.33
32366.67,57983.33,32333.33,57933.33
32383.33,54350,32366.67,54183.33
32383.33,54666.67,32366.67,54766.67
32383.33,56683.33,32350,56550
32383.33,57600,32383.33,57500
32400,55350,32300,55333.33
32400,56716.67,32383.33,56683.33
32400,56900,32333.33,57050
32416.67,56333.33,32416.67,56166.67
32416.67,57583.33,32383.33,57500
32416.67,58150,32333.33,58133.33
32416.67,58150,32366.67,57983.33
32433.33,56350,32416.67,56333.33
32450,55033.33,32383.33,55066.67
32450,56033.33,32166.67,55950
32466.67,54316.67,32383.33,54350
32466.67,55233.33,32383.33,55066.67
32466.67,55233.33,32400,55350
32466.67,56166.67,32416.67,56166.67
32483.33,53716.67,32350,53833.33
32483.33,53716.67,32483.33,53516.67
32483.33,56350,32433.33,56350
32483.33,57750,32333.33,57800
32500,54416.67,32466.67,54316.67
32500,56033.33,32450,56033.33
32500,56033.33,32466.67,56166.67
